,count,cat,subcat,subsubcat,combined_cats,combined_cats_lower,processed_comps,sentiment_scores
6108,2,Department for the Aging,Donate to the Aging in New York Fund,Information about how to make a financial contribution to support the Department for the Aging.,Department for the Aging Donate to the Aging in New York Fund Information about how to make a financial contribution to support the Department for the Aging.,department for the aging donate to the aging in new york fund information about how to make a financial contribution to support the department for the aging.,department aging donate aging new york fund information make financial contribution support department aging,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}"
6109,2,Department of Consumer Affairs,Price Not Posted - Car Wash,Complaint about a commercial car wash not posting prices.,Department of Consumer Affairs Price Not Posted - Car Wash Complaint about a commercial car wash not posting prices.,department of consumer affairs price not posted - car wash complaint about a commercial car wash not posting prices.,department constructionumer affairs price posted car wash complaint commercial car wash posting prices,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}"
6110,2,Department of Transportation,Cross Over Mirrors for Trucks,Request information about cross over mirror requirements for trucks.,Department of Transportation Cross Over Mirrors for Trucks Request information about cross over mirror requirements for trucks.,department of transportation cross over mirrors for trucks request information about cross over mirror requirements for trucks.,department transit transportation cross mirrors trucks request information cross mirror requirements trucks,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6111,2,Department of Health and Mental Hygiene,Flu Poster - Cover Your Cough,Poster about covering your cough to reduce the spread of germs.,Department of Health and Mental Hygiene Flu Poster - Cover Your Cough Poster about covering your cough to reduce the spread of germs.,department of health and mental hygiene flu poster - cover your cough poster about covering your cough to reduce the spread of germs.,department health mental hygiene flu poster cover cough poster covering cough reduce spread germs,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.3818}"
6112,2,Fire Department of New York,Fire Hydrant Blocked by Snow - Brooklyn,Complaint about snow blocking a fire hydrant.,Fire Department of New York Fire Hydrant Blocked by Snow - Brooklyn Complaint about snow blocking a fire hydrant.,fire department of new york fire hydrant blocked by snow - brooklyn complaint about snow blocking a fire hydrant.,fire department new york fire hydrant blocked snow brooklyn complaint snow blocking fire hydrant,"{'neg': 0.638, 'neu': 0.362, 'pos': 0.0, 'compound': -0.9022}"
6113,2,,Social and Emotional Development Parent's Guide,Get age-specific pamphlets on social emotional development for parents and caregivers of children from ages 1 to 10 years old., Social and Emotional Development Parent's Guide Get age-specific pamphlets on social emotional development for parents and caregivers of children from ages 1 to 10 years old., social and emotional development parent's guide get age-specific pamphlets on social emotional development for parents and caregivers of children from ages 1 to 10 years old.,social emotional development parents guide get agespecific pamphlets social emotional development parents caregivers children ages years old,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.296}"
6114,2,Department of Consumer Affairs,Horse Drawn Cab Driver License - Apply,License required to drive a horse drawn cab that is for hire to passengers.,Department of Consumer Affairs Horse Drawn Cab Driver License - Apply License required to drive a horse drawn cab that is for hire to passengers.,department of consumer affairs horse drawn cab driver license - apply license required to drive a horse drawn cab that is for hire to passengers.,department constructionumer affairs horse drawn cab driver license apply license required drive horse drawn cab hire passengers,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6115,2,Department of Sanitation,School Recycling Materials,Recycling materials and educational resources for K-12 schools.,Department of Sanitation School Recycling Materials Recycling materials and educational resources for K-12 schools.,department of sanitation school recycling materials recycling materials and educational resources for k-12 schools.,department sanitation waste school recycling materials recycling materials educational resources k schools,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.4215}"
6116,2,Taxi and Limousine Commission,Taxi of Tomorrow,Get information on the City's Taxi of Tomorrow.,Taxi and Limousine Commission Taxi of Tomorrow Get information on the City's Taxi of Tomorrow.,taxi and limousine commission taxi of tomorrow get information on the city's taxi of tomorrow.,taxi limousine commission taxi tomorrow get information citys taxi tomorrow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6117,2,Department of Buildings,Place of Assembly Permit - Staten Island,Permit required for 75 or more people to gather indoors or 200 or more outdoors.,Department of Buildings Place of Assembly Permit - Staten Island Permit required for 75 or more people to gather indoors or 200 or more outdoors.,department of buildings place of assembly permit - staten island permit required for 75 or more people to gather indoors or 200 or more outdoors.,department buildings place assembly permit staten island permit required people gather indoors outdoors,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6118,2,Taxi and Limousine Commission,Taxi Complaint - E-Hail - Broken or Missing Equipment,"For a taxi hailed by smartphone, complaint about broken or missing equipment in a taxi.","Taxi and Limousine Commission Taxi Complaint - E-Hail - Broken or Missing Equipment For a taxi hailed by smartphone, complaint about broken or missing equipment in a taxi.","taxi and limousine commission taxi complaint - e-hail - broken or missing equipment for a taxi hailed by smartphone, complaint about broken or missing equipment in a taxi.","taxi limousine commission taxi complaint ehail broken missing equipment taxi hailed smartphone, complaint broken missing equipment taxi","{'neg': 0.558, 'neu': 0.372, 'pos': 0.071, 'compound': -0.9022}"
6119,2,3-1-1 Call Center,Free Tax Preparation - In Person Assistance,Get free help filing your taxes.,3-1-1 Call Center Free Tax Preparation - In Person Assistance Get free help filing your taxes.,3-1-1 call center free tax preparation - in person assistance get free help filing your taxes.,call center free tax preparation person assistance get free help filing taxes,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.8519}"
6120,2,Department of Health and Mental Hygiene,Nurses for Pregnant Teens Under 18 Years Old - Manhattan,Free home visits and parenting education by nurses for low-income first-time pregnant teens under 18 years old.,Department of Health and Mental Hygiene Nurses for Pregnant Teens Under 18 Years Old - Manhattan Free home visits and parenting education by nurses for low-income first-time pregnant teens under 18 years old.,department of health and mental hygiene nurses for pregnant teens under 18 years old - manhattan free home visits and parenting education by nurses for low-income first-time pregnant teens under 18 years old.,department health mental hygiene nurses pregnant teens years old manhattan free home visits parenting education nurses lowincome firsttime pregnant teens years old,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.5106}"
6121,2,,Taxi Medallion Sale,Learn about taxi medallion sales., Taxi Medallion Sale Learn about taxi medallion sales., taxi medallion sale learn about taxi medallion sales.,taxi medallion sale learn taxi medallion sales,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6122,2,,Booting Company License,Apply for or renew a license to put wheel locks on illegally parked cars., Booting Company License Apply for or renew a license to put wheel locks on illegally parked cars., booting company license apply for or renew a license to put wheel locks on illegally parked cars.,booting company license apply renew license put wheel locks illegally parked cars,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6123,2,Department of Consumer Affairs,"Exchange, Refund or Return - Car Wash","Exchange, refund or return complaint about a commercial car wash.","Department of Consumer Affairs Exchange, Refund or Return - Car Wash Exchange, refund or return complaint about a commercial car wash.","department of consumer affairs exchange, refund or return - car wash exchange, refund or return complaint about a commercial car wash.","department constructionumer affairs exchange, refund return car wash exchange, refund return complaint commercial car wash","{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.296}"
6124,2,U.S. Department of Transportation,Division Referral,Hidden service for activity coding.,U.S. Department of Transportation Division Referral Hidden service for activity coding.,u.s. department of transportation division referral hidden service for activity coding.,us department transit transportation division referral hidden service activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6125,2,Department of Probation,Restitution as Condition of Probation,Information about the conditions and enforcement of a probationer's restitution.,Department of Probation Restitution as Condition of Probation Information about the conditions and enforcement of a probationer's restitution.,department of probation restitution as condition of probation information about the conditions and enforcement of a probationer's restitution.,department probation restitution condition probation information conditions enforcement probationers restitution,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6126,2,Department of Environmental Protection,Refrigeration Equipment Permit - Bronx,Permit required for the legal installation of refrigerator equipment.,Department of Environmental Protection Refrigeration Equipment Permit - Bronx Permit required for the legal installation of refrigerator equipment.,department of environmental protection refrigeration equipment permit - bronx permit required for the legal installation of refrigerator equipment.,department environmental protection refrigeration equipment permit bronx permit required legal installation refrigerator equipment,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.128}"
6127,2,,Artist Certification,Learn about the certification needed for an artist to qualify for a joint living-working space., Artist Certification Learn about the certification needed for an artist to qualify for a joint living-working space., artist certification learn about the certification needed for an artist to qualify for a joint living-working space.,artist certification learn certification needed artist qualify joint livingworking space,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6128,2,Department of Citywide Administrative Services,Division Transfer,Hidden service for activity coding.,Department of Citywide Administrative Services Division Transfer Hidden service for activity coding.,department of citywide administrative services division transfer hidden service for activity coding.,department citywide administrative services division transfer hidden service activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6129,2,Department of Health and Mental Hygiene,Wild Animal Exhibition Permit,"Request for a permit to exhibit exotic or wild animals for movies, commercial purposes, science, education, or display.","Department of Health and Mental Hygiene Wild Animal Exhibition Permit Request for a permit to exhibit exotic or wild animals for movies, commercial purposes, science, education, or display.","department of health and mental hygiene wild animal exhibition permit request for a permit to exhibit exotic or wild animals for movies, commercial purposes, science, education, or display.","department health mental hygiene wild animal exhibition permit request permit exhibit exotic wild animals movies, commercial purposes, science, education, display","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6130,2,3-1-1 Call Center,Federal Government Shutdown,"The partial U. S. Federal Government shutdown ended on October 17, 2013.","3-1-1 Call Center Federal Government Shutdown The partial U. S. Federal Government shutdown ended on October 17, 2013.","3-1-1 call center federal government shutdown the partial u. s. federal government shutdown ended on october 17, 2013.","call center federal government shutdown partial u federal government shutdown ended october ,","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6131,2,Department of Homeless Services,Staff Information Provided,Hidden service for activity coding.,Department of Homeless Services Staff Information Provided Hidden service for activity coding.,department of homeless services staff information provided hidden service for activity coding.,department homeless services staff information provided hidden service activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6132,2,Department of Buildings,Sign Hanger License,"Information about sign hanger licensing, including insurance requirements and application procedures.","Department of Buildings Sign Hanger License Information about sign hanger licensing, including insurance requirements and application procedures.","department of buildings sign hanger license information about sign hanger licensing, including insurance requirements and application procedures.","department buildings sign hanger license information sign hanger licensing, including insurance requirements application procedures","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6133,2,3-1-1 Call Center,SNAP (Food Stamps) - Apply in Person,Information about how to apply for SNAP (Food Stamps) in person.,3-1-1 Call Center SNAP (Food Stamps) - Apply in Person Information about how to apply for SNAP (Food Stamps) in person.,3-1-1 call center snap (food stamps) - apply in person information about how to apply for snap (food stamps) in person.,call center snap food stamps apply person information apply snap food stamps person,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6134,2,Department of Investigation,Division Referral,Hidden service for activity coding.,Department of Investigation Division Referral Hidden service for activity coding.,department of investigation division referral hidden service for activity coding.,department investigation division referral hidden service activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6135,2,,Prescription Formula Preparation Permit,Apply for or renew a permit to prepare prescription formula., Prescription Formula Preparation Permit Apply for or renew a permit to prepare prescription formula., prescription formula preparation permit apply for or renew a permit to prepare prescription formula.,prescription formula preparation permit apply renew permit prepare prescription formula,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6136,2,3-1-1 Call Center,State and Federal Park Information,Information or complaint about a State or Federal Park in New York City.,3-1-1 Call Center State and Federal Park Information Information or complaint about a State or Federal Park in New York City.,3-1-1 call center state and federal park information information or complaint about a state or federal park in new york city.,call center state federal park information information complaint state federal park new york city,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}"
6137,2,Department of Consumer Affairs,Auction House License - Renew or Status,Status of pending applications and information on renewal and expiration.,Department of Consumer Affairs Auction House License - Renew or Status Status of pending applications and information on renewal and expiration.,department of consumer affairs auction house license - renew or status status of pending applications and information on renewal and expiration.,department constructionumer affairs auction house license renew status status pending applications information renewal expiration,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6138,2,City University of New York (CUNY),CUNY Fatherhood Academy,Get information about the CUNY Fatherhood Academy for young fathers ages 18 to 25 living in New York City.,City University of New York (CUNY) CUNY Fatherhood Academy Get information about the CUNY Fatherhood Academy for young fathers ages 18 to 25 living in New York City.,city university of new york (cuny) cuny fatherhood academy get information about the cuny fatherhood academy for young fathers ages 18 to 25 living in new york city.,city university new york cuny cuny fatherhood academy get information cuny fatherhood academy young fathers ages living new york city,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6139,2,Landmarks Preservation Commission,Division Information Provided,Hidden service for activity coding.,Landmarks Preservation Commission Division Information Provided Hidden service for activity coding.,landmarks preservation commission division information provided hidden service for activity coding.,landmarks preservation commission division information provided hidden service activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6140,2,Department of Education,School Applications in Braille and Large Print,Public school enrollment applications in braille or large print.,Department of Education School Applications in Braille and Large Print Public school enrollment applications in braille or large print.,department of education school applications in braille and large print public school enrollment applications in braille or large print.,department education school applications braille large print public school enrollment applications braille large print,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6141,2,New York City Police Department,Ticket Scalping - In Progress,Report of illegal ticket sale in progress. Requires immediate transfer to 911.,New York City Police Department Ticket Scalping - In Progress Report of illegal ticket sale in progress. Requires immediate transfer to 911.,new york city police department ticket scalping - in progress report of illegal ticket sale in progress. requires immediate transfer to 911.,new york city police department ticket scalping progress report illegal ticket sale progress requires immediate transfer,"{'neg': 0.162, 'neu': 0.586, 'pos': 0.252, 'compound': 0.25}"
6142,2,Department of Buildings,Cesspool Permit - Brooklyn,Permit to build a cesspool.,Department of Buildings Cesspool Permit - Brooklyn Permit to build a cesspool.,department of buildings cesspool permit - brooklyn permit to build a cesspool.,department buildings cesspool permit brooklyn permit build cesspool,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6143,2,Department of Health and Mental Hygiene,Text 4 Baby,Request for free weekly text messages about healthy pregnancy and baby.,Department of Health and Mental Hygiene Text 4 Baby Request for free weekly text messages about healthy pregnancy and baby.,department of health and mental hygiene text 4 baby request for free weekly text messages about healthy pregnancy and baby.,department health mental hygiene text baby request free weekly text messages healthy pregnancy baby,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7184}"
6144,2,Department of Transportation,Prospect Park Traffic Rules,Traffic rules for the East and West Drives in Prospect Park.,Department of Transportation Prospect Park Traffic Rules Traffic rules for the East and West Drives in Prospect Park.,department of transportation prospect park traffic rules traffic rules for the east and west drives in prospect park.,department transit transportation prospect park traffic rules traffic rules east west drives prospect park,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.5267}"
6145,2,Department of Consumer Affairs,Goods or Services Not Delivered - Dry Cleaner,Complaint about a dry cleaner failing to deliver goods or services.,Department of Consumer Affairs Goods or Services Not Delivered - Dry Cleaner Complaint about a dry cleaner failing to deliver goods or services.,department of consumer affairs goods or services not delivered - dry cleaner complaint about a dry cleaner failing to deliver goods or services.,department constructionumer affairs goods services delivered dry cleaner complaint dry cleaner failing deliver goods services,"{'neg': 0.276, 'neu': 0.553, 'pos': 0.171, 'compound': -0.4767}"
6146,2,Department of Consumer Affairs,Holiday Shopping Tips,Consumer tips for smart holiday shopping.,Department of Consumer Affairs Holiday Shopping Tips Consumer tips for smart holiday shopping.,department of consumer affairs holiday shopping tips consumer tips for smart holiday shopping.,department constructionumer affairs holiday shopping tips constructionumer tips smart holiday shopping,"{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.7964}"
6147,2,Department of Parks and Recreation,Find a Horseback Riding Trail,Information about horseback riding trails run by the City.,Department of Parks and Recreation Find a Horseback Riding Trail Information about horseback riding trails run by the City.,department of parks and recreation find a horseback riding trail information about horseback riding trails run by the city.,department parks parks recreation parks recreation find horseback riding trail information horseback riding trails run city,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6148,2,,Add Chemicals to Water Supply Permit,Apply for or renew a permit to add chemicals to a building's drinking water supply., Add Chemicals to Water Supply Permit Apply for or renew a permit to add chemicals to a building's drinking water supply., add chemicals to water supply permit apply for or renew a permit to add chemicals to a building's drinking water supply.,add chemicals water supply permit apply renew permit add chemicals buildings drinking water supply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6149,2,3-1-1 Call Center,Home Delivered Meals for Seniors - Urgent Request to Enroll,Assistance for a senior who needs to register for food delivery immediately.,3-1-1 Call Center Home Delivered Meals for Seniors - Urgent Request to Enroll Assistance for a senior who needs to register for food delivery immediately.,3-1-1 call center home delivered meals for seniors - urgent request to enroll assistance for a senior who needs to register for food delivery immediately.,call center home delivered meals seniors urgent request enroll assistance senior needs register food delivery immediately,"{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.2023}"
6150,2,,Pregnancy Services Center Complaint,Report a pregnancy services center that does not disclose required information about the services it offers., Pregnancy Services Center Complaint Report a pregnancy services center that does not disclose required information about the services it offers., pregnancy services center complaint report a pregnancy services center that does not disclose required information about the services it offers.,pregnancy services center complaint report pregnancy services center disclose required information services offers,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}"
6151,2,Queens Borough Public Library,Middle School Student After School Program - Drop-In,Find an after school program for middle school students that does not require pre-registration.,Queens Borough Public Library Middle School Student After School Program - Drop-In Find an after school program for middle school students that does not require pre-registration.,queens borough public library middle school student after school program - drop-in find an after school program for middle school students that does not require pre-registration.,queens borough public library middle school student school program dropin find school program middle school students require preregistration,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6152,2,Fire Department of New York,Hotdog the Fire Department Mascot,Educational entertainment provided  on fire and burn safety.,Fire Department of New York Hotdog the Fire Department Mascot Educational entertainment provided  on fire and burn safety.,fire department of new york hotdog the fire department mascot educational entertainment provided  on fire and burn safety.,fire department new york hotdog animal fire department mascot educational entertainment provided fire burn safety,"{'neg': 0.316, 'neu': 0.439, 'pos': 0.246, 'compound': -0.1531}"
6153,2,Department of Transportation,Bikes in Buildings - No Response to Tenant Request,Report that a building has not responded to a tenant's request for bicycle access.,Department of Transportation Bikes in Buildings - No Response to Tenant Request Report that a building has not responded to a tenant's request for bicycle access.,department of transportation bikes in buildings - no response to tenant request report that a building has not responded to a tenant's request for bicycle access.,department transit transportation bikes buildings response tenant housing rental request report building responded tenant housing rentals request bike access,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6154,2,Conflicts of Interest Board,Annual Disclosure Report,Provides financial information for City employees.,Conflicts of Interest Board Annual Disclosure Report Provides financial information for City employees.,conflicts of interest board annual disclosure report provides financial information for city employees.,conflicts interest board annual disclosure report provides financial information city employees,"{'neg': 0.178, 'neu': 0.616, 'pos': 0.205, 'compound': 0.1027}"
6155,2,Department of Sanitation,Recycling Theft Award Program,Pamphlet explaining how to report theft of recyclables materials.,Department of Sanitation Recycling Theft Award Program Pamphlet explaining how to report theft of recyclables materials.,department of sanitation recycling theft award program pamphlet explaining how to report theft of recyclables materials.,department sanitation waste recycling theft award program pamphlet explaining report theft recyclables materials,"{'neg': 0.162, 'neu': 0.636, 'pos': 0.202, 'compound': 0.1779}"
6156,2,,Child Health Plus Complaint,Report a problem with a Child Health Plus assistant., Child Health Plus Complaint Report a problem with a Child Health Plus assistant., child health plus complaint report a problem with a child health plus assistant.,child health plus complaint report problem child health plus assistant,"{'neg': 0.38, 'neu': 0.62, 'pos': 0.0, 'compound': -0.5994}"
6157,2,Department of Transportation,Bikes in Buildings - Non-Compliance with Bicycle Access Plan,Report that a building is not complying with its posted Bicycle Access Plan.,Department of Transportation Bikes in Buildings - Non-Compliance with Bicycle Access Plan Report that a building is not complying with its posted Bicycle Access Plan.,department of transportation bikes in buildings - non-compliance with bicycle access plan report that a building is not complying with its posted bicycle access plan.,department transit transportation bikes buildings noncompliance bike access plan report building complying posted bike access plan,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6158,2,,K2 Materials Flyer,Get printed materials that explain the risks of using K2., K2 Materials Flyer Get printed materials that explain the risks of using K2., k2 materials flyer get printed materials that explain the risks of using k2.,k materials flyer get printed materials explain risks using k,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.2732}"
6159,2,Department of Health and Mental Hygiene,Ebola - Health Care Providers,Poster order for health care providers.,Department of Health and Mental Hygiene Ebola - Health Care Providers Poster order for health care providers.,department of health and mental hygiene ebola - health care providers poster order for health care providers.,department health mental hygiene ebola health care providers poster order health care providers,"{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.7506}"
6160,2,NYS Office of Temporary and Disability Assistance,Division Transfer,Hidden service for activity coding.,NYS Office of Temporary and Disability Assistance Division Transfer Hidden service for activity coding.,nys office of temporary and disability assistance division transfer hidden service for activity coding.,nys office temporary disability assistance division transfer hidden service activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6161,2,Department of Health and Mental Hygiene,Radioactive Materials Complaint,Report of radioactive materials stored improperly or creating a risk of contamination.,Department of Health and Mental Hygiene Radioactive Materials Complaint Report of radioactive materials stored improperly or creating a risk of contamination.,department of health and mental hygiene radioactive materials complaint report of radioactive materials stored improperly or creating a risk of contamination.,department health mental hygiene radioactive materials complaint report radioactive materials stored improperly creating risk contamination,"{'neg': 0.232, 'neu': 0.649, 'pos': 0.119, 'compound': -0.2732}"
6162,2,Department of Parks and Recreation,Lead Testing in NYC Parks,Learn about the City's lead testing program in City parks.,Department of Parks and Recreation Lead Testing in NYC Parks Learn about the City's lead testing program in City parks.,department of parks and recreation lead testing in nyc parks learn about the city's lead testing program in city parks.,department parks parks recreation parks recreation lead testing nyc parks parks recreation learn citys lead testing program city parks parks recreation,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6163,2,Department of Transportation,New York City Street Works Manual,Manual that provides guidelines on better coordination of City street construction.,Department of Transportation New York City Street Works Manual Manual that provides guidelines on better coordination of City street construction.,department of transportation new york city street works manual manual that provides guidelines on better coordination of city street construction.,department transit transportation new york city street works manual manual provides guidelines better coordination city street construction,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}"
6164,2,Administration for Children Services,LGBTQ Counseling for Child Welfare Parents and Children,"Assistance for lesbian, gay and other LGBTQ parents and children who receive child welfare services.","Administration for Children Services LGBTQ Counseling for Child Welfare Parents and Children Assistance for lesbian, gay and other LGBTQ parents and children who receive child welfare services.","administration for children services lgbtq counseling for child welfare parents and children assistance for lesbian, gay and other lgbtq parents and children who receive child welfare services.","administration children services lgbtq counseling child welfare parents children assistance lesbian, gay lgbtq parents children receive child welfare services","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6165,2,Department of Health and Mental Hygiene,Pregnancy Test,Pregnancy testing.,Department of Health and Mental Hygiene Pregnancy Test Pregnancy testing.,department of health and mental hygiene pregnancy test pregnancy testing.,department health mental hygiene pregnancy test pregnancy testing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6166,2,Department of Consumer Affairs,False Advertising - Gas Station,Complaint about misleading or deceptive advertising by a gas station.,Department of Consumer Affairs False Advertising - Gas Station Complaint about misleading or deceptive advertising by a gas station.,department of consumer affairs false advertising - gas station complaint about misleading or deceptive advertising by a gas station.,department constructionumer affairs false advertising gas station complaint misleading deceptive advertising gas station,"{'neg': 0.308, 'neu': 0.692, 'pos': 0.0, 'compound': -0.5994}"
6167,2,Office of Labor Relations,Division Transfer,Hidden service for activity coding.,Office of Labor Relations Division Transfer Hidden service for activity coding.,office of labor relations division transfer hidden service for activity coding.,office labor relations division transfer hidden service activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6168,2,,Manhole Installation Permit,Learn about required permit for manhole installations., Manhole Installation Permit Learn about required permit for manhole installations., manhole installation permit learn about required permit for manhole installations.,manhole drain installation permit learn required permit manhole drain installations,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6169,2,Campaign Finance Board,Campaign Finance Program Administration,Program providing public matching funds to candidates.,Campaign Finance Board Campaign Finance Program Administration Program providing public matching funds to candidates.,campaign finance board campaign finance program administration program providing public matching funds to candidates.,campaign finance board campaign finance program administration program providing public matching funds candidates,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6170,2,Department of Consumer Affairs,False Advertising - Debt Collection Agency,Complaint about misleading or deceptive advertising by a debt collection agency.,Department of Consumer Affairs False Advertising - Debt Collection Agency Complaint about misleading or deceptive advertising by a debt collection agency.,department of consumer affairs false advertising - debt collection agency complaint about misleading or deceptive advertising by a debt collection agency.,department constructionumer affairs false advertising debt collection agency complaint misleading deceptive advertising debt collection agency,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.836}"
6171,2,3-1-1 Call Center,DRIE - Enrollment Assistance,Assistance is available for head-of-household disabled persons in completing the application for DRIE benefits.,3-1-1 Call Center DRIE - Enrollment Assistance Assistance is available for head-of-household disabled persons in completing the application for DRIE benefits.,3-1-1 call center drie - enrollment assistance assistance is available for head-of-household disabled persons in completing the application for drie benefits.,call center drie enrollment assistance assistance available headofhousehold disabled persons completing application drie benefits,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}"
6172,2,Federal Emergency Management Agency,FEMA - NYC Property Owner Notification Letters,Information on the 2015 FEMA property owner notification letters.,Federal Emergency Management Agency FEMA - NYC Property Owner Notification Letters Information on the 2015 FEMA property owner notification letters.,federal emergency management agency fema - nyc property owner notification letters information on the 2015 fema property owner notification letters.,federal emergency management agency fema nyc property building owner notification letters information fema property building owner notification letters,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.3818}"
6173,2,Mayor's Office to Combat Domestic Violence,Division Information Provided,Hidden service for activity coding.,Mayor's Office to Combat Domestic Violence Division Information Provided Hidden service for activity coding.,mayor's office to combat domestic violence division information provided hidden service for activity coding.,mayors office combat domestic violence division information provided hidden service activity coding,"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.7579}"
6174,2,Department of Housing Preservation and Development,Service Request Follow-Up,Activity Coding.,Department of Housing Preservation and Development Service Request Follow-Up Activity Coding.,department of housing preservation and development service request follow-up activity coding.,department housing preservation development service request followup activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6175,2,"Mayor's Office of Film, Theatre and Broadcasting",Division Information Provided,Hidden service for activity coding.,"Mayor's Office of Film, Theatre and Broadcasting Division Information Provided Hidden service for activity coding.","mayor's office of film, theatre and broadcasting division information provided hidden service for activity coding.","mayors office film, theatre broadcasting division information provided hidden service activity coding","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6176,2,NYC Health and Hospitals,Child Asthma Diagnosis and Treatment,Request for medical services for a child with asthma.,NYC Health and Hospitals Child Asthma Diagnosis and Treatment Request for medical services for a child with asthma.,nyc health and hospitals child asthma diagnosis and treatment request for medical services for a child with asthma.,nyc health hospitals child asthma diagnosis treatment request medical services child asthma,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
